taxon	min	max
Ailuropoda_melanoleuca	0.0	1.24
Helarctos_malayanus	0.0	1.78
Melursus_ursinus	0.0	1.8
Tremarctos_ornatus	0.0	0.0
Ursus_americanus	0.0	1.84
Ursus_arctos	0.0	1.71
Ursus_maritimus	0.0	0.65
Ursus_thibetanus	0.0	1.18
Agriarctos_spp	4.9	7.75
Ailurarctos_lufengensis	5.8	8.2
Arctodus_simus	0.012	2.588
Ballusia_elmensis	13.7	22.8
Indarctos_arctoides	4.9	9.7
Indarctos_punjabiensis	4.9	9.7
Indarctos_vireti	7.75	8.7
Kretzoiarctos_beatrix	11.2	11.8
Parictis_montanus	33.9	37.2
Ursavus_brevirhinus	15.97	16.9
Ursavus_primaevus	13.65	15.97
Ursus_abstrusus	1.8	5.3
Ursus_spelaeus	0.027	0.25
Zaragocyon_daamsi	20	22.8
