taxon	age
Ailuropoda_melanoleuca	0.0
Helarctos_malayanus	0.0
Melursus_ursinus	0.0
Tremarctos_ornatus	0.0
Ursus_americanus	0.0
Ursus_arctos	0.0
Ursus_maritimus	0.0
Ursus_thibetanus	0.0
Agriarctos_spp	5.0
Ailurarctos_lufengensis	7.7
Arctodus_simus	0.5
Ballusia_elmensis	14.0
Indarctos_arctoides	9.6
Indarctos_punjabiensis	5.1
Indarctos_vireti	8.7
Kretzoiarctos_beatrix	11.7
Parictis_montanus	36.6
Ursavus_brevirhinus	16.2
Ursavus_primaevus	14.4
Ursus_abstrusus	4.3
Ursus_spelaeus	0.06
Zaragocyon_daamsi	21.9
